id	x	y	z
13964	-118.22701534829915	-119.37632878931714	-88.707086712722
13965	-118.22701534829915	-119.37632878931714	-81.02658671272201
13966	-118.22701534829915	-119.37632878931714	-73.34618671272202
13967	-118.22701534829915	-119.37632878931714	-65.665686712722
13981	-118.22701534829915	-119.37632878931714	-50.30468671272202
13982	-118.22701534829915	-119.37632878931714	-42.62418671272201
13983	-118.22701534829915	-119.37632878931714	-34.943786712722016
13996	-118.22701534829915	-119.37632878931714	-27.263286712722007
13997	-118.22701534829915	-119.37632878931714	-19.582786712722026
13998	-118.22701534829915	-119.37632878931714	-11.902386712722006
13999	-118.22701534829915	-119.37632878931714	-4.221886712722011
14012	-118.22701534829915	-119.37632878931714	3.4586132872779842
14013	-118.22701534829915	-119.37632878931714	11.13911328727798
14015	-118.22701534829915	-119.37632878931714	26.500013287277994
14028	-118.22701534829915	-119.37632878931714	34.18051328727799
14029	-118.22701534829915	-119.37632878931714	41.861013287277984
14106	-118.22701534829915	-113.64432878931714	-104.06798671272202
14110	-118.22701534829915	-107.91232878931714	-104.06798671272202
14111	-118.22701534829915	-107.91232878931714	-96.38758671272201
14115	-123.94201534829915	-113.64432878931714	-65.665686712722
14120	-118.22701534829915	-113.64432878931714	-88.707086712722
14121	-118.22701534829915	-113.64432878931714	-81.02658671272201
14122	-118.22701534829915	-113.64432878931714	-73.34618671272202
14124	-118.22701534829915	-107.91232878931714	-88.707086712722
14125	-118.22701534829915	-107.91232878931714	-81.02658671272201
14126	-118.22701534829915	-107.91232878931714	-73.34618671272202
14127	-118.22701534829915	-107.91232878931714	-65.665686712722
14136	-118.22701534829915	-113.64432878931714	-57.98518671272201
14137	-118.22701534829915	-113.64432878931714	-50.30468671272202
14138	-118.22701534829915	-113.64432878931714	-42.62418671272201
14139	-118.22701534829915	-113.64432878931714	-34.943786712722016
14140	-118.22701534829915	-107.91232878931714	-57.98518671272201
14141	-118.22701534829915	-107.91232878931714	-50.30468671272202
14142	-118.22701534829915	-107.91232878931714	-42.62418671272201
14143	-118.22701534829915	-107.91232878931714	-34.943786712722016
14152	-118.22701534829915	-113.64432878931714	-27.263286712722007
14153	-118.22701534829915	-113.64432878931714	-19.582786712722026
14154	-118.22701534829915	-113.64432878931714	-11.902386712722006
14155	-118.22701534829915	-113.64432878931714	-4.221886712722011
14156	-118.22701534829915	-107.91232878931714	-27.263286712722007
14157	-118.22701534829915	-107.91232878931714	-19.582786712722026
14158	-118.22701534829915	-107.91232878931714	-11.902386712722006
14159	-118.22701534829915	-107.91232878931714	-4.221886712722011
14168	-118.22701534829915	-113.64432878931714	3.4586132872779842
14169	-118.22701534829915	-113.64432878931714	11.13911328727798
14170	-118.22701534829915	-113.64432878931714	18.819513287278
14171	-118.22701534829915	-113.64432878931714	26.500013287277994
14172	-118.22701534829915	-107.91232878931714	3.4586132872779842
14173	-118.22701534829915	-107.91232878931714	11.13911328727798
14174	-118.22701534829915	-107.91232878931714	18.819513287278
14175	-118.22701534829915	-107.91232878931714	26.500013287277994
14184	-118.22701534829915	-113.64432878931714	34.18051328727799
14185	-118.22701534829915	-113.64432878931714	41.861013287277984
14186	-118.22701534829915	-113.64432878931714	49.54151328727798
14187	-118.22701534829915	-113.64432878931714	57.221913287278
14188	-118.22701534829915	-107.91232878931714	34.18051328727799
14189	-118.22701534829915	-107.91232878931714	41.861013287277984
14190	-118.22701534829915	-107.91232878931714	49.54151328727798
14191	-118.22701534829915	-107.91232878931714	57.221913287278
14200	-118.22701534829915	-113.64432878931714	64.902413287278
14204	-118.22701534829915	-107.91232878931714	64.902413287278
14206	-118.22701534829915	-107.91232878931714	80.26341328727798
14207	-118.22701534829915	-107.91232878931714	87.94381328727798
14220	-118.22701534829915	-107.91232878931714	95.624313287278
14221	-118.22701534829915	-107.91232878931714	103.304813287278
14265	-118.22701534829915	-102.18032878931714	-111.74848671272201
14266	-118.22701534829915	-102.18032878931714	-104.06798671272202
14267	-118.22701534829915	-102.18032878931714	-96.38758671272201
14268	-118.22701534829915	-96.44832878931715	-119.42898671272201
